Id,Title,Handle,Published_date,Created_date,Product_Type,Sku,Price,Available,Grams,Image
7130331086910,The Wilson Brown,the-wilson-brown,2023-02-21T09:01:21-06:00,2023-01-18T13:45:45-06:00,Shoes,HB4205016,245.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-the-wilson-brown-29948855517246.jpg?v=1674071514
7130129170494,The Hynes Whiskey,the-hynes-whiskey,2023-01-24T07:43:45-06:00,2023-01-17T12:53:18-06:00,Boots,HB9030016,250.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hynes-whiskey-29946557005886.jpg?v=1673982771
7122957860926,HELM Socks - Natural + Tan,copy-of-helm-socks-navy-marine,2023-01-18T11:01:37-06:00,2022-12-19T14:02:26-06:00,Socks,HB2LG-F,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-natural-tan-29948593242174.jpg?v=1674062146
4807384531006,The Knox Tobacco,the-knox-tobacco,2023-01-09T08:35:15-06:00,2021-02-01T13:57:57-06:00,Sneakers,HB3203015,140.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-tobacco-28555434524734.jpg?v=1628018164
6883465134142,HELM Striped Socks - 3 Pack,helm-striped-socks-3-pack,2022-12-20T15:36:56-06:00,2022-03-08T14:39:03-06:00,Socks,HB4LG-Q,40.00,True,170,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-striped-socks-3-pack-29157153833022.jpg?v=1646847037
6883461496894,HELM Marled Socks - 3 Pack,helm-marled-socks-3-pack,2022-12-20T15:36:38-06:00,2022-03-08T14:33:14-06:00,Socks,HB4LG-P,40.00,True,170,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-3-pack-29157153013822.jpg?v=1646847034
7122958090302,HELM Cabin Socks - Black + Grey,helm-cabin-socks-black-grey,2022-12-20T15:34:42-06:00,2022-12-19T14:06:36-06:00,Socks,HB5LG-C,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-cabin-socks-black-grey-29948610609214.jpg?v=1674062140
7122958057534,HELM Cabin Socks - Blue + Navy,helm-cabin-socks-blue-grey,2022-12-20T15:34:41-06:00,2022-12-19T14:05:39-06:00,Socks,HB5LG-B,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-cabin-socks-blue-navy-29948613656638.jpg?v=1674062315
7122957991998,HELM Cabin Socks - Grey + Red,copy-of-helm-marled-socks-grey-1,2022-12-20T15:34:39-06:00,2022-12-19T14:04:10-06:00,Socks,HB5LG-A,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-cabin-socks-grey-red-29948618014782.jpg?v=1674062495
7122957729854,HELM Marled Socks - Rust,copy-of-helm-marled-socks-grey,2022-12-20T15:33:58-06:00,2022-12-19T14:00:15-06:00,Socks,HB3LG-F,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-rust-29948607135806.jpg?v=1674062136
1424746479678,HELM Travel Care Kit,helm-boot-care-kit-mini,2022-12-06T15:09:35-06:00,2018-08-28T12:11:42-05:00,Boot Care,NEWHLBOX_2022,15.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boot-care-helm-travel-care-kit-29872874782782.png?v=1670360974
7114965483582,The Finn Sienna,the-finn-sienna,2022-12-06T14:07:27-06:00,2022-11-18T12:09:52-06:00,Boots,HBB623016,265.00,False,2268,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-finn-sienna-29865104310334.png?v=1670351519
7114965450814,The Finn Brown,the-finn-brown,2022-12-06T14:07:24-06:00,2022-11-18T12:09:21-06:00,Boots,HBB622016,265.00,True,2268,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-finn-brown-29872768417854.png?v=1670351978
7114965352510,The Finn Black,the-finn-black,2022-12-06T14:07:21-06:00,2022-11-18T12:08:49-06:00,Boots,HBB621016,265.00,True,2268,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-finn-black-29872768352318.png?v=1670351976
